# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	2230
#@/user_id	5b6267af-6f98-4b37-bfcd-c62aa7d6ebbc
a 	啊	c=5 d=4.64539 t=2230
dan zhi xian shi 	胆汁显示	c=1 d=0.99005 t=2230
dang 	当	c=1 d=0.900325 t=2230
dang qian 	当前	c=1 d=0.814647 t=2230
dang qian ping mu 	当前屏幕	c=1 d=0.625002 t=2230
dao 	到	c=11 d=6.14621 t=2230
dao le 	到了	c=1 d=0.941765 t=2230
de 	的	c=98 d=19.0423 t=2230
deng dai 	等待	c=1 d=0.941765 t=2230
di 	第	c=1 d=0.965605 t=2230
di er ge 	第二个	c=4 d=2.36525 t=2230
di fang 	地方	c=4 d=2.55139 t=2230
di san ge 	第三个	c=2 d=1.54382 t=2230
di yi ci 	第一次	c=1 d=0.737123 t=2230
di yi ge 	第一个	c=1 d=0.715338 t=2230
di zhi 	地址	c=1 d=0.955997 t=2230
dian 	点	c=1 d=0.927743 t=2230
dian ji 	点击	c=15 d=7.57225 t=2230
dian nao 	电脑	c=2 d=1.89319 t=2230
dian yuan 	电源	c=3 d=2.52343 t=2230
diao 	掉	c=2 d=1.98012 t=2230
diao yong 	调用	c=1 d=0.748264 t=2230
ding wei 	定位	c=2 d=1.8606 t=2230
dong 	动	c=3 d=2.41864 t=2230
dong hua 	动画	c=6 d=3.81881 t=2230
dong mian 	冬眠	c=10 d=8.49389 t=2230
dong zuo 	动作	c=1 d=0.744532 t=2230
dou 	都	c=2 d=1.9415 t=2230
dou an 	都按	c=1 d=0.923116 t=2230
dou bie shuo 	都别说	c=1 d=0.951229 t=2230
dou bu gou 	都不够	c=1 d=0.683861 t=2230
dou hui 	都会	c=2 d=1.93208 t=2230
dou mei 	都没	c=1 d=0.985112 t=2230
dou mei you 	都没有	c=1 d=0.909373 t=2230
dou na lai 	都拿来	c=1 d=0.869358 t=2230
duan 	短	c=1 d=0.794534 t=2230
dui die 	堆叠	c=2 d=1.90727 t=2230
dui qi 	对齐	c=1 d=0.918512 t=2230
dui ying 	对应	c=1 d=0.970446 t=2230
dun cuo gan 	顿挫感	c=1 d=0.955997 t=2230
duo ge 	多个	c=3 d=1.97279 t=2230
duo xian cheng 	多线程	c=1 d=0.965605 t=2230
e wai 	额外	c=1 d=0.640824 t=2230
e xin 	恶心	c=1 d=0.937067 t=2230
er 	二	c=1 d=0.970446 t=2230
fa song 	发送	c=1 d=0.878095 t=2230
fa wo 	发我	c=2 d=1.89942 t=2230
fan 	烦	c=1 d=0.927743 t=2230
fan guo lai 	反过来	c=2 d=1.92639 t=2230
fan qie 	番茄	c=1 d=0.995012 t=2230
fang 	放	c=1 d=0.923116 t=2230
fang an 	方案	c=3 d=2.41111 t=2230
fang da 	放大	c=3 d=2.30667 t=2230
fang dao 	放到	c=2 d=1.72161 t=2230
fang fa 	方法	c=1 d=0.878095 t=2230
fang ge 	放歌	c=1 d=0.99005 t=2230
fang wen 	访问	c=1 d=0.985112 t=2230
fang yi qi 	放一起	c=1 d=1 t=2230
fang zai 	放在	c=6 d=3.37663 t=2230
fei 	非	c=1 d=0.918512 t=2230
fen cheng 	分成	c=2 d=1.87423 t=2230
fen ge fu 	分隔符	c=2 d=1.70514 t=2230
feng kuang 	疯狂	c=1 d=0.71177 t=2230
feng xian 	风险	c=1 d=0.932394 t=2230
fu zhi 	复制	c=2 d=1.97032 t=2230
gai 	改	c=22 d=7.33333 t=2230
gai bian 	改变	c=1 d=0.99005 t=2230
gai cheng 	改成	c=10 d=5.49784 t=2230
gai de 	改得	c=1 d=0.955997 t=2230
gai duo shao 	改多少	c=1 d=0.895834 t=2230
gai le 	改了	c=2 d=1.68708 t=2230
gai ming 	改名	c=1 d=0.99005 t=2230
gai wan 	改完	c=1 d=0.932394 t=2230
gai wei 	改为	c=1 d=0.895834 t=2230
gai wo de 	改我的	c=1 d=0.995012 t=2230
gai yi xia 	改一下	c=1 d=0.774916 t=2230
gai zhe ge 	改这个	c=1 d=0.752014 t=2230
gao du 	高度	c=2 d=1.81151 t=2230
gao su 	告诉	c=2 d=1.05384 t=2230
gao su wo 	告诉我	c=1 d=0.985112 t=2230
ge 	个	c=4 d=3.06315 t=2230
ge 	歌	c=4 d=3.2846 t=2230
ge ci 	歌词	c=19 d=10.6007 t=2230
ge ming 	歌名	c=2 d=1.82971 t=2230
ge shi 	格式	c=6 d=3.83216 t=2230
ge shou 	歌手	c=1 d=0.941765 t=2230
gei 	给	c=4 d=2.85082 t=2230
gei wo 	给我	c=11 d=5.31398 t=2230
gen ju 	根据	c=2 d=1.71245 t=2230
geng gai 	更改	c=1 d=0.923116 t=2230
geng jian dan 	更简单	c=1 d=0.995012 t=2230
geng xin 	更新	c=4 d=3.70552 t=2230
gong ju 	工具	c=5 d=3.87934 t=2230
gong ju qu 	工具区	c=1 d=0.895834 t=2230
gong ju xiang 	工具箱	c=1 d=0.965605 t=2230
gong neng 	功能	c=3 d=2.06136 t=2230
gong zuo 	工作	c=1 d=0.97531 t=2230
gong zuo qu 	工作区	c=5 d=4.11422 t=2230
gua zai 	挂载	c=1 d=0.99005 t=2230
guan bi 	关闭	c=9 d=6.14573 t=2230
guan bi shi 	关闭时	c=1 d=0.970446 t=2230
guan ji 	关机	c=1 d=1 t=2230
guan le 	关了	c=1 d=0.946485 t=2230
guan xi 	关系	c=1 d=0.97531 t=2230
gui fan 	规范	c=1 d=1 t=2230
guo 	过	c=1 d=0.955997 t=2230
guo du 	过渡	c=1 d=0.955997 t=2230
hai 	还	c=2 d=1.56397 t=2230
hai he 	还和	c=1 d=0.951229 t=2230
hai mei 	还没	c=3 d=2.05176 t=2230
hai shi 	还是	c=12 d=5.24419 t=2230
hai zi 	孩子	c=1 d=0.767206 t=2230
hang 	行	c=1 d=0.985112 t=2230
hao 	号	c=1 d=0.697676 t=2230
hao 	好	c=4 d=3.63972 t=2230
hao da 	好大	c=1 d=0.955997 t=2230
hao de 	好的	c=5 d=2.89583 t=2230
hao duo 	好多	c=1 d=0.927743 t=2230
hao hao hao 	好好好	c=1 d=0.941765 t=2230
hao ka 	好卡	c=1 d=0.852144 t=2230
hao le 	好了	c=1 d=0.965605 t=2230
hao miao 	毫秒	c=1 d=1 t=2230
he 	和	c=16 d=6.6019 t=2230
hei se 	黑色	c=2 d=1.76641 t=2230
hen duo 	很多	c=1 d=0.873716 t=2230
hen hao kan 	很好看	c=1 d=0.951229 t=2230
heng 	哼	c=1 d=0.960789 t=2230
heng 	横	c=2 d=1.7871 t=2230
heng zhe 	横着	c=2 d=1.80988 t=2230
hou 	后	c=7 d=4.33303 t=2230
hou 	猴	c=1 d=0.927743 t=2230
hou tai 	后台	c=1 d=0.995012 t=2230
hou zhui 	后缀	c=1 d=0.937067 t=2230
hu lve 	忽略	c=1 d=0.927743 t=2230
hua 	化	c=1 d=0.913931 t=2230
hua kuai 	滑块	c=18 d=8.52321 t=2230
huai kuai 	坏快	c=1 d=0.937067 t=2230
huan 	换	c=6 d=4.6547 t=2230
huan cheng 	换成	c=2 d=1.88872 t=2230
huan ge 	换个	c=1 d=0.960789 t=2230
huan yi ge 	换一个	c=2 d=1.76301 t=2230
huan yi xia 	换一下	c=2 d=1.68868 t=2230
hui 	会	c=4 d=2.79752 t=2230
hui ba 	会把	c=1 d=0.946485 t=2230
hui bei 	会被	c=1 d=0.852144 t=2230
hui fu 	回复	c=5 d=2.86701 t=2230
hui guan bi 	会关闭	c=1 d=0.891366 t=2230
huo hu 	火狐	c=1 d=0.970446 t=2230
huo lang 	活狼	c=1 d=0.960789 t=2230
ji 	及	c=1 d=0.951229 t=2230
ji chu shang 	基础上	c=1 d=0.937067 t=2230
ji ge 	几个	c=1 d=0.99005 t=2230
ji gou 	机构	c=1 d=0.980199 t=2230
jia 	加	c=6 d=3.4902 t=2230
jia wu 	加五	c=1 d=1 t=2230
jian bian se 	渐变色	c=1 d=0.895834 t=2230
jian cha 	检查	c=1 d=0.790571 t=2230
jian cha yi xia 	检查一下	c=1 d=0.88692 t=2230
jian dan 	简单	c=1 d=0.965605 t=2230
jian hua 	简化	c=2 d=1.66068 t=2230
jian kong 	监控	c=1 d=0.995012 t=2230
jian ming 	键名	c=1 d=0.895834 t=2230
jian xi 	间隙	c=1 d=0.923116 t=2230
jiang 	将	c=1 d=0.97531 t=2230
jiao ben 	脚本	c=6 d=4.34086 t=2230
jiao dian 	焦点	c=2 d=1.84522 t=2230
jiao shen me 	叫什么	c=1 d=0.909373 t=2230
jiao wo 	教我	c=1 d=0.995012 t=2230
jie 	接	c=1 d=0.937067 t=2230
jie 	节	c=1 d=0.621885 t=2230
jie jia ri 	节假日	c=1 d=0.965605 t=2230
jie jue 	解决	c=4 d=3.25315 t=2230
jie mian 	界面	c=2 d=1.62669 t=2230
jie shi 	解释	c=3 d=1.73888 t=2230
jie shu 	结束	c=2 d=1.98012 t=2230
jie shu jin cheng 	结束进程	c=1 d=0.904837 t=2230
jin 	进	c=0 d=0.0985112 t=2230
jin cheng 	进程	c=5 d=3.6554 t=2230
